epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,3332.91,0.07572,0.01966,0.00443,0.07178,0.74405,0.99905,0.99947,0.995,0.9249,0.99905,0.99947,0.995,0.99286,0.48037,0.09715,0.0523,0.21725,1.11335,0.000614,0.000614,0.000614
72,3379.51,0.07214,0.01858,0.00442,0.06788,0.74281,0.99858,0.99902,0.99498,0.92422,0.99858,0.99902,0.99498,0.9931,0.48126,0.09491,0.05114,0.21985,1.11079,0.0005942,0.0005942,0.0005942
73,3425.96,0.06986,0.01821,0.00391,0.06628,0.74213,0.99905,0.99946,0.99492,0.92484,0.99905,0.99946,0.99492,0.99305,0.4775,0.08944,0.04877,0.2196,1.10901,0.0005744,0.0005744,0.0005744
74,3472.84,0.06775,0.01717,0.00398,0.06444,0.74181,0.99858,0.99991,0.99494,0.92363,0.99858,0.99991,0.99494,0.9928,0.47947,0.08763,0.04771,0.21701,1.112,0.0005546,0.0005546,0.0005546
75,3519.58,0.06559,0.01602,0.0037,0.06227,0.74142,0.99905,0.99899,0.995,0.92622,0.99905,0.99899,0.995,0.99299,0.47809,0.08578,0.04806,0.21888,1.11317,0.0005348,0.0005348,0.0005348
76,3566.62,0.06494,0.01671,0.00366,0.06262,0.74118,0.99811,1,0.99498,0.92459,0.99811,1,0.99498,0.993,0.47741,0.08768,0.05173,0.21695,1.11112,0.000515,0.000515,0.000515
77,3613.59,0.0645,0.01574,0.00366,0.06243,0.74118,0.99806,1,0.99498,0.92545,0.99806,1,0.99498,0.99335,0.47696,0.08182,0.05298,0.2163,1.1074,0.0004952,0.0004952,0.0004952
78,3660.9,0.06175,0.01587,0.00347,0.06077,0.74062,0.99858,0.99953,0.99496,0.92499,0.99858,0.99953,0.99496,0.9933,0.47822,0.08392,0.05248,0.21538,1.10956,0.0004754,0.0004754,0.0004754
79,3707.78,0.06119,0.0151,0.00337,0.06023,0.74039,0.99858,0.99974,0.99499,0.92455,0.99858,0.99974,0.99499,0.99273,0.47491,0.08493,0.05052,0.2171,1.10788,0.0004556,0.0004556,0.0004556
80,3754.19,0.0602,0.01582,0.00343,0.05979,0.74007,0.99953,0.99953,0.995,0.92557,0.99905,0.99905,0.995,0.99285,0.47496,0.09464,0.05044,0.21908,1.11035,0.0004358,0.0004358,0.0004358
81,3800.9,0.05872,0.01479,0.00323,0.05823,0.73988,0.99953,1,0.995,0.92596,0.99953,1,0.995,0.99248,0.47434,0.09335,0.05264,0.21898,1.11165,0.000416,0.000416,0.000416
82,3847.64,0.0579,0.0147,0.0031,0.05784,0.7397,0.99905,1,0.995,0.92695,0.99905,1,0.995,0.99299,0.47212,0.09674,0.05406,0.21681,1.11196,0.0003962,0.0003962,0.0003962
83,3894.31,0.05866,0.01456,0.00322,0.05836,0.7398,0.9995,0.99953,0.995,0.92516,0.9995,0.99953,0.995,0.99304,0.47766,0.10266,0.05671,0.21888,1.12179,0.0003764,0.0003764,0.0003764
